(1, 0.2, 1, 32635, 63512, 0.5138399042700592)
(1, 0.2, 2, 32678, 63871, 0.5116249941287908)
(1, 0.2, 3, 33059, 63872, 0.5175820390781564)
(1, 0.2, 4, 32994, 63872, 0.516564378757515)
(1, 0.2, 5, 33009, 63872, 0.5167992234468938)
(1, 0.2, 6, 32885, 63872, 0.5148578406813628)
(1, 0.2, 7, 32967, 63872, 0.5161416583166333)
(1, 0.2, 8, 32822, 63872, 0.5138714929859719)
(1, 0.2, 9, 32922, 63872, 0.515437124248497)
(1, 0.3, 1, 32271, 62896, 0.5130850928516917)
(1, 0.3, 2, 32672, 63872, 0.5115230460921844)
(1, 0.3, 3, 33047, 63872, 0.5173941633266533)
(1, 0.3, 4, 32983, 63872, 0.5163921593186372)
(1, 0.3, 5, 33022, 63872, 0.517002755511022)
(1, 0.3, 6, 32882, 63872, 0.5148108717434869)
(1, 0.3, 7, 32995, 63872, 0.5165800350701403)
(1, 0.3, 8, 32830, 63872, 0.513996743486974)
(1, 0.3, 9, 32948, 63872, 0.5158441883767535)
(1, 0.4, 1, 31444, 61279, 0.5131284779451362)
(1, 0.4, 2, 32715, 63867, 0.5122363661985063)
(1, 0.4, 3, 33047, 63870, 0.5174103648035071)
(1, 0.4, 4, 33008, 63870, 0.5167997494911539)
(1, 0.4, 5, 32980, 63870, 0.5163613590104901)
(1, 0.4, 6, 32906, 63870, 0.515202755597307)
(1, 0.4, 7, 32938, 63870, 0.5157037732894942)
(1, 0.4, 8, 32863, 63870, 0.5145295130734304)
(1, 0.4, 9, 32889, 63870, 0.5149365899483326)
(1, 0.5, 1, 29728, 57920, 0.5132596685082873)
(1, 0.5, 2, 32665, 63812, 0.5118943145489877)
(1, 0.5, 3, 32980, 63849, 0.5165311907782424)
(1, 0.5, 4, 33093, 63849, 0.5183009914015881)
(1, 0.5, 5, 32930, 63849, 0.515748093157293)
(1, 0.5, 6, 32971, 63849, 0.5163902332064715)
(1, 0.5, 7, 32886, 63849, 0.5150589672508575)
(1, 0.5, 8, 32898, 63849, 0.5152469106798854)
(1, 0.5, 9, 32840, 63849, 0.514338517439584)
(1, 0.6, 1, 26738, 52145, 0.5127624892127721)
(1, 0.6, 2, 32325, 63355, 0.5102201878304791)
(1, 0.6, 3, 32663, 63704, 0.5127307547406756)
(1, 0.6, 4, 33084, 63719, 0.5192171879659129)
(1, 0.6, 5, 32623, 63721, 0.5119662277742032)
(1, 0.6, 6, 32987, 63721, 0.517678630278872)
(1, 0.6, 7, 32560, 63721, 0.5109775427253181)
(1, 0.6, 8, 32905, 63721, 0.516391770373974)
(1, 0.6, 9, 32538, 63721, 0.5106322876288821)
(1, 0.7, 1, 21970, 42801, 0.5133057638840214)
(1, 0.7, 2, 30704, 60137, 0.5105675374561418)
(1, 0.7, 3, 31789, 62529, 0.5083881079179261)
(1, 0.7, 4, 32525, 62742, 0.5183927831436678)
(1, 0.7, 5, 32080, 62758, 0.5111698906912266)
(1, 0.7, 6, 32471, 62762, 0.5173671967113859)
(1, 0.7, 7, 32044, 62762, 0.5105637168987603)
(1, 0.7, 8, 32416, 62762, 0.5164908702718205)
(1, 0.7, 9, 32010, 62762, 0.5100219878270291)
(1, 0.8, 1, 14785, 28881, 0.5119282573318098)
(1, 0.8, 2, 25322, 49726, 0.5092305835981177)
(1, 0.8, 3, 28339, 55868, 0.5072492303286318)
(1, 0.8, 4, 29692, 57538, 0.5160415725259828)
(1, 0.8, 5, 29748, 57931, 0.5135074485163384)
(1, 0.8, 6, 29937, 58019, 0.51598614247057)
(1, 0.8, 7, 29778, 58042, 0.5130422797284725)
(1, 0.8, 8, 29851, 58047, 0.5142556893551777)
(1, 0.8, 9, 29707, 58049, 0.5117573084807663)
(1, 0.9, 1, 5232, 10530, 0.49686609686609684)
(1, 0.9, 2, 12295, 24085, 0.5104837035499273)
(1, 0.9, 3, 16327, 32013, 0.5100115578046419)
(1, 0.9, 4, 18295, 35923, 0.5092837457896056)
(1, 0.9, 5, 19311, 37741, 0.5116716568188442)
(1, 0.9, 6, 19786, 38473, 0.5142827437423648)
(1, 0.9, 7, 19930, 38842, 0.5131043715565625)
(1, 0.9, 8, 20243, 39024, 0.5187320623206232)
(1, 0.9, 9, 20156, 39108, 0.5153932699191981)
